name,furigana,prefecture,birthdate,age,gender,snum,term,rank,style,score,～１昨年_合計_出走数,～１昨年_合計_優勝,～１昨年_合計_1着,～１昨年_合計_2着,～１昨年_合計_3着,～１昨年_合計_着外,～１昨年_合計_棄権,～１昨年_合計_失格,～１昨年_合計_勝率,～１昨年_合計_2連対率,～１昨年_合計_3連対率,～１昨年_F2_出走数,～１昨年_F2_優勝,～１昨年_F2_1着,～１昨年_F2_2着,～１昨年_F2_3着,～１昨年_F2_着外,～１昨年_F2_棄権,～１昨年_F2_失格,～１昨年_F2_勝率,～１昨年_F2_2連対率,～１昨年_F2_3連対率,～１昨年_F1_出走数,～１昨年_F1_優勝,～１昨年_F1_1着,～１昨年_F1_2着,～１昨年_F1_3着,～１昨年_F1_着外,～１昨年_F1_棄権,～１昨年_F1_失格,～１昨年_F1_勝率,～１昨年_F1_2連対率,～１昨年_F1_3連対率,～１昨年_G3_出走数,～１昨年_G3_優勝,～１昨年_G3_1着,～１昨年_G3_2着,～１昨年_G3_3着,～１昨年_G3_着外,～１昨年_G3_棄権,～１昨年_G3_失格,～１昨年_G3_勝率,～１昨年_G3_2連対率,～１昨年_G3_3連対率,～１昨年_G2_出走数,～１昨年_G2_優勝,～１昨年_G2_1着,～１昨年_G2_2着,～１昨年_G2_3着,～１昨年_G2_着外,～１昨年_G2_棄権,～１昨年_G2_失格,～１昨年_G2_勝率,～１昨年_G2_2連対率,～１昨年_G2_3連対率,～１昨年_G1_出走数,～１昨年_G1_優勝,～１昨年_G1_1着,～１昨年_G1_2着,～１昨年_G1_3着,～１昨年_G1_着外,～１昨年_G1_棄権,～１昨年_G1_失格,～１昨年_G1_勝率,～１昨年_G1_2連対率,～１昨年_G1_3連対率,～１昨年_GP_出走数,～１昨年_GP_優勝,～１昨年_GP_1着,～１昨年_GP_2着,～１昨年_GP_3着,～１昨年_GP_着外,～１昨年_GP_棄権,～１昨年_GP_失格,～１昨年_GP_勝率,～１昨年_GP_2連対率,～１昨年_GP_3連対率,昨年_合計_出走数,昨年_合計_優勝,昨年_合計_1着,昨年_合計_2着,昨年_合計_3着,昨年_合計_着外,昨年_合計_棄権,昨年_合計_失格,昨年_合計_勝率,昨年_合計_2連対率,昨年_合計_3連対率,昨年_F2_出走数,昨年_F2_優勝,昨年_F2_1着,昨年_F2_2着,昨年_F2_3着,昨年_F2_着外,昨年_F2_棄権,昨年_F2_失格,昨年_F2_勝率,昨年_F2_2連対率,昨年_F2_3連対率,昨年_F1_出走数,昨年_F1_優勝,昨年_F1_1着,昨年_F1_2着,昨年_F1_3着,昨年_F1_着外,昨年_F1_棄権,昨年_F1_失格,昨年_F1_勝率,昨年_F1_2連対率,昨年_F1_3連対率,昨年_G3_出走数,昨年_G3_優勝,昨年_G3_1着,昨年_G3_2着,昨年_G3_3着,昨年_G3_着外,昨年_G3_棄権,昨年_G3_失格,昨年_G3_勝率,昨年_G3_2連対率,昨年_G3_3連対率,昨年_G2_出走数,昨年_G2_優勝,昨年_G2_1着,昨年_G2_2着,昨年_G2_3着,昨年_G2_着外,昨年_G2_棄権,昨年_G2_失格,昨年_G2_勝率,昨年_G2_2連対率,昨年_G2_3連対率,昨年_G1_出走数,昨年_G1_優勝,昨年_G1_1着,昨年_G1_2着,昨年_G1_3着,昨年_G1_着外,昨年_G1_棄権,昨年_G1_失格,昨年_G1_勝率,昨年_G1_2連対率,昨年_G1_3連対率,昨年_GP_出走数,昨年_GP_優勝,昨年_GP_1着,昨年_GP_2着,昨年_GP_3着,昨年_GP_着外,昨年_GP_棄権,昨年_GP_失格,昨年_GP_勝率,昨年_GP_2連対率,昨年_GP_3連対率,本年_合計_出走数,本年_合計_優勝,本年_合計_1着,本年_合計_2着,本年_合計_3着,本年_合計_着外,本年_合計_棄権,本年_合計_失格,本年_合計_勝率,本年_合計_2連対率,本年_合計_3連対率,本年_F2_出走数,本年_F2_優勝,本年_F2_1着,本年_F2_2着,本年_F2_3着,本年_F2_着外,本年_F2_棄権,本年_F2_失格,本年_F2_勝率,本年_F2_2連対率,本年_F2_3連対率,本年_F1_出走数,本年_F1_優勝,本年_F1_1着,本年_F1_2着,本年_F1_3着,本年_F1_着外,本年_F1_棄権,本年_F1_失格,本年_F1_勝率,本年_F1_2連対率,本年_F1_3連対率,本年_G3_出走数,本年_G3_優勝,本年_G3_1着,本年_G3_2着,本年_G3_3着,本年_G3_着外,本年_G3_棄権,本年_G3_失格,本年_G3_勝率,本年_G3_2連対率,本年_G3_3連対率,本年_G2_出走数,本年_G2_優勝,本年_G2_1着,本年_G2_2着,本年_G2_3着,本年_G2_着外,本年_G2_棄権,本年_G2_失格,本年_G2_勝率,本年_G2_2連対率,本年_G2_3連対率,本年_G1_出走数,本年_G1_優勝,本年_G1_1着,本年_G1_2着,本年_G1_3着,本年_G1_着外,本年_G1_棄権,本年_G1_失格,本年_G1_勝率,本年_G1_2連対率,本年_G1_3連対率,本年_GP_出走数,本年_GP_優勝,本年_GP_1着,本年_GP_2着,本年_GP_3着,本年_GP_着外,本年_GP_棄権,本年_GP_失格,本年_GP_勝率,本年_GP_2連対率,本年_GP_3連対率,通算_合計_出走数,通算_合計_優勝,通算_合計_1着,通算_合計_2着,通算_合計_3着,通算_合計_着外,通算_合計_棄権,通算_合計_失格,通算_合計_勝率,通算_合計_2連対率,通算_合計_3連対率,通算_F2_出走数,通算_F2_優勝,通算_F2_1着,通算_F2_2着,通算_F2_3着,通算_F2_着外,通算_F2_棄権,通算_F2_失格,通算_F2_勝率,通算_F2_2連対率,通算_F2_3連対率,通算_F1_出走数,通算_F1_優勝,通算_F1_1着,通算_F1_2着,通算_F1_3着,通算_F1_着外,通算_F1_棄権,通算_F1_失格,通算_F1_勝率,通算_F1_2連対率,通算_F1_3連対率,通算_G3_出走数,通算_G3_優勝,通算_G3_1着,通算_G3_2着,通算_G3_3着,通算_G3_着外,通算_G3_棄権,通算_G3_失格,通算_G3_勝率,通算_G3_2連対率,通算_G3_3連対率,通算_G2_出走数,通算_G2_優勝,通算_G2_1着,通算_G2_2着,通算_G2_3着,通算_G2_着外,通算_G2_棄権,通算_G2_失格,通算_G2_勝率,通算_G2_2連対率,通算_G2_3連対率,通算_G1_出走数,通算_G1_優勝,通算_G1_1着,通算_G1_2着,通算_G1_3着,通算_G1_着外,通算_G1_棄権,通算_G1_失格,通算_G1_勝率,通算_G1_2連対率,通算_G1_3連対率,通算_GP_出走数,通算_GP_優勝,通算_GP_1着,通算_GP_2着,通算_GP_3着,通算_GP_着外,通算_GP_棄権,通算_GP_失格,通算_GP_勝率,通算_GP_2連対率,通算_GP_3連対率
浅井 康太,アサイ コウタ,三重県,1984/06/22,40歳,男,014089,90期,S級1班,両,113.81,1470,73,483,258,142,544,21,24,32.8%,50.4%,60.0%,130,6,31,34,10,53,1,1,23.8%,50.0%,57.6%,210,28,98,35,11,64,1,1,46.6%,63.3%,68.5%,634,33,248,112,59,197,9,9,39.1%,56.7%,66.0%,131,1,30,22,18,52,5,5,22.9%,39.6%,53.4%,357,3,74,53,41,177,5,8,20.7%,35.5%,47.0%,8,2,2,2,3,1,0,0,25.0%,50.0%,87.5%,102,3,30,17,13,40,2,0,29.4%,46.0%,58.8%,2,0,0,0,0,2,0,0,0.0%,0.0%,0.0%,24,2,12,7,3,2,0,0,50.0%,79.1%,91.6%,45,1,11,7,7,18,2,0,24.4%,40.0%,55.5%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,27,0,7,2,3,15,0,0,25.9%,33.3%,44.4%,,,,,,,,,,,,43,2,11,9,6,17,0,0,25.5%,46.5%,60.4%,,,,,,,,,,,,15,2,7,3,2,3,0,0,46.6%,66.6%,80.0%,16,0,3,3,2,8,0,0,18.7%,37.5%,50.0%,4,0,0,1,1,2,0,0,0.0%,25.0%,50.0%,8,0,1,2,1,4,0,0,12.5%,37.5%,50.0%,,,,,,,,,,,,1615,78,524,284,161,601,23,24,32.4%,50.0%,60.0%,132,6,31,34,10,55,1,1,23.4%,49.2%,56.8%,249,32,117,45,16,69,1,1,46.9%,65.0%,71.4%,695,34,262,122,68,223,11,9,37.6%,55.2%,65.0%,139,1,30,24,19,57,5,5,21.5%,38.8%,52.5%,392,3,82,57,45,196,5,8,20.9%,35.4%,46.9%,8,2,2,2,3,1,0,0,25.0%,50.0%,87.5%
竹澤 浩司,タケザワ コウジ,富山県,1981/05/10,44歳,男,014090,90期,A級1班,両,90.26,1714,40,371,222,145,973,2,1,21.6%,34.5%,43.0%,513,26,167,82,40,223,0,1,32.5%,48.5%,56.3%,938,14,170,111,91,564,2,0,18.1%,29.9%,39.6%,263,0,34,29,14,186,0,0,12.9%,23.9%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,18,7,6,39,0,1,25.3%,35.2%,43.6%,16,2,6,3,2,4,0,1,37.5%,56.2%,68.7%,43,1,11,2,3,27,0,0,25.5%,30.2%,37.2%,12,0,1,2,1,8,0,0,8.3%,25.0%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,5,6,2,17,0,0,16.6%,36.6%,43.3%,18,0,4,5,1,8,0,0,22.2%,50.0%,55.5%,12,0,1,1,1,9,0,0,8.3%,16.6%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,43,394,235,153,1029,2,2,21.7%,34.6%,43.0%,547,28,177,90,43,235,0,2,32.3%,48.8%,56.6%,993,15,182,114,95,600,2,0,18.3%,29.8%,39.3%,275,0,35,31,15,194,0,0,12.7%,24.0%,29.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊原 弘幸,イハラ ヒロユキ,福井県,1984/12/11,40歳,男,014091,90期,A級1班,追,85.82,1584,6,175,225,192,968,20,6,11.0%,25.2%,37.3%,545,4,87,99,74,276,6,4,15.9%,34.1%,47.7%,835,2,75,112,104,534,9,1,8.9%,22.3%,34.8%,204,0,13,14,14,158,5,1,6.3%,13.2%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,8,19,25,51,1,0,7.6%,25.9%,50.0%,76,0,6,13,18,39,0,0,7.8%,25.0%,48.6%,28,0,2,6,7,12,1,0,7.1%,28.5%,53.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,6,8,6,19,0,0,15.3%,35.8%,51.2%,30,0,5,6,5,14,0,0,16.6%,36.6%,53.3%,9,0,1,2,1,5,0,0,11.1%,33.3%,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,6,189,252,223,1038,21,6,10.9%,25.5%,38.4%,651,4,98,118,97,329,6,4,15.0%,33.1%,48.0%,872,2,78,120,112,551,10,1,8.9%,22.7%,35.5%,204,0,13,14,14,158,5,1,6.3%,13.2%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山出 裕幸,ヤマデ ヒロユキ,福井県,1983/06/05,41歳,男,014092,90期,A級1班,追,85.21,1458,20,283,219,164,783,6,3,19.4%,34.4%,45.6%,944,12,198,149,108,485,2,2,20.9%,36.7%,48.1%,494,8,84,69,54,283,3,1,17.0%,30.9%,41.9%,19,0,1,1,2,14,1,0,5.2%,10.5%,21.0%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,95,0,12,19,17,47,0,0,12.6%,32.6%,50.5%,66,0,9,16,9,32,0,0,13.6%,37.8%,51.5%,29,0,3,3,8,15,0,0,10.3%,20.6%,48.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,5,4,6,17,1,1,15.1%,27.2%,45.4%,27,0,4,3,4,15,1,1,14.8%,25.9%,40.7%,6,0,1,1,2,2,0,0,16.6%,33.3%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586,20,300,242,187,847,7,4,18.9%,34.1%,45.9%,1037,12,211,168,121,532,3,3,20.3%,36.5%,48.2%,529,8,88,73,64,300,3,1,16.6%,30.4%,42.5%,19,0,1,1,2,14,1,0,5.2%,10.5%,21.0%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,
窪田 陽介,クボタ ヨウスケ,滋賀県,1985/01/12,40歳,男,014093,90期,A級2班,追,81.90,1531,3,181,200,203,921,23,4,11.8%,24.8%,38.1%,678,2,96,100,102,370,10,2,14.1%,28.9%,43.9%,791,1,79,93,97,506,13,2,9.9%,21.7%,34.0%,62,0,6,7,4,45,0,0,9.6%,20.9%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0,5,12,17,60,1,0,5.2%,17.8%,35.7%,63,0,4,7,13,38,1,0,6.3%,17.4%,38.0%,32,0,1,5,4,22,0,0,3.1%,18.7%,31.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,3,7,23,0,0,0.0%,9.0%,30.3%,15,0,0,2,3,10,0,0,0.0%,13.3%,33.3%,18,0,0,1,4,13,0,0,0.0%,5.5%,27.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659,3,186,215,227,1004,24,4,11.2%,24.1%,37.8%,756,2,100,109,118,418,11,2,13.2%,27.6%,43.2%,841,1,80,99,105,541,13,2,9.5%,21.2%,33.7%,62,0,6,7,4,45,0,0,9.6%,20.9%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有馬 雄二,アリマ ユウジ,奈良県,1982/05/23,42歳,男,014094,90期,A級2班,追,82.59,1640,11,194,226,213,987,13,11,11.8%,25.6%,38.5%,939,8,123,141,130,532,8,7,13.0%,28.1%,41.9%,671,3,70,80,81,433,5,4,10.4%,22.3%,34.4%,30,0,1,5,2,22,0,0,3.3%,20.0%,26.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0,5,15,19,72,0,0,4.5%,18.0%,35.1%,86,0,4,10,15,57,0,0,4.6%,16.2%,33.7%,25,0,1,5,4,15,0,0,4.0%,24.0%,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,1,1,8,17,1,0,3.5%,7.1%,35.7%,22,0,1,1,6,13,1,0,4.5%,9.0%,36.3%,6,0,0,0,2,4,0,0,0.0%,0.0%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,11,200,242,240,1076,14,11,11.2%,24.8%,38.3%,1047,8,128,152,151,602,9,7,12.2%,26.7%,41.1%,702,3,71,85,87,452,5,4,10.1%,22.2%,34.6%,30,0,1,5,2,22,0,0,3.3%,20.0%,26.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊藤 成紀,イトウ セイキ,大阪府,1982/07/05,42歳,男,014096,90期,A級1班,両,91.29,1516,49,360,181,167,769,23,22,23.7%,35.6%,46.7%,410,33,154,59,40,148,6,5,37.5%,51.9%,61.7%,884,16,173,105,111,471,13,15,19.5%,31.4%,44.0%,211,0,32,16,16,141,4,2,15.1%,22.7%,30.3%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,7,0,1,0,0,6,0,0,14.2%,14.2%,14.2%,,,,,,,,,,,,81,0,12,15,13,38,1,2,14.8%,33.3%,49.3%,63,0,10,12,9,29,1,2,15.8%,34.9%,49.2%,18,0,2,3,4,9,0,0,11.1%,27.7%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,10,1,5,8,0,0,41.6%,45.8%,66.6%,21,1,9,1,4,7,0,0,42.8%,47.6%,66.6%,3,0,1,0,1,1,0,0,33.3%,33.3%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,50,382,197,185,815,24,24,23.5%,35.7%,47.1%,494,34,173,72,53,184,7,7,35.0%,49.5%,60.3%,905,16,176,108,116,481,13,15,19.4%,31.3%,44.1%,211,0,32,16,16,141,4,2,15.1%,22.7%,30.3%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,7,0,1,0,0,6,0,0,14.2%,14.2%,14.2%,,,,,,,,,,,
稲川 翔,イナカワ シヨウ,大阪府,1985/02/20,40歳,男,014097,90期,S級1班,両,107.66,1376,41,335,232,163,591,28,33,24.3%,41.2%,53.0%,117,5,42,9,14,48,3,1,35.8%,43.5%,55.5%,606,33,182,116,58,227,10,15,30.0%,49.1%,58.7%,353,2,69,57,46,159,13,12,19.5%,35.6%,48.7%,77,0,13,15,14,34,0,1,16.8%,36.3%,54.5%,222,1,29,35,31,122,2,4,13.0%,28.8%,42.7%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%,69,0,13,9,10,32,0,5,18.8%,31.8%,46.3%,2,0,0,0,0,2,0,0,0.0%,0.0%,0.0%,20,0,6,3,1,6,0,4,30.0%,45.0%,50.0%,22,0,2,3,7,9,0,1,9.0%,22.7%,54.5%,4,0,0,2,1,1,0,0,0.0%,50.0%,75.0%,21,0,5,1,1,14,0,0,23.8%,28.5%,33.3%,,,,,,,,,,,,16,0,3,2,4,6,0,1,18.7%,31.2%,56.2%,,,,,,,,,,,,8,0,1,1,2,3,0,1,12.5%,25.0%,50.0%,8,0,2,1,2,3,0,0,25.0%,37.5%,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,41,351,243,177,629,28,39,24.0%,40.6%,52.7%,119,5,42,9,14,50,3,1,35.2%,42.8%,54.6%,634,33,189,120,61,236,10,20,29.8%,48.7%,58.3%,383,2,73,61,55,171,13,13,19.0%,34.9%,49.3%,81,0,13,17,15,35,0,1,16.0%,37.0%,55.5%,243,1,34,36,32,136,2,4,13.9%,28.8%,41.9%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%
菊谷 信一,キクタニ シンイチ,大阪府,1985/03/28,40歳,男,014098,90期,A級1班,追,90.42,1346,27,213,225,152,719,21,22,15.8%,32.5%,43.8%,752,22,141,147,91,346,15,16,18.7%,38.2%,50.3%,528,5,69,72,54,323,6,6,13.0%,26.7%,36.9%,66,0,3,6,7,50,0,0,4.5%,13.6%,24.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,16,18,4,37,1,1,20.7%,44.1%,49.3%,66,1,16,15,3,31,0,1,24.2%,46.9%,51.5%,11,0,0,3,1,6,1,0,0.0%,27.2%,36.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,4,7,3,7,0,0,19.0%,52.3%,66.6%,15,0,3,5,2,5,0,0,20.0%,53.3%,66.6%,6,0,1,2,1,2,0,0,16.6%,50.0%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,28,233,250,159,763,22,23,16.1%,33.4%,44.4%,833,23,160,167,96,382,15,17,19.2%,39.2%,50.7%,545,5,70,77,56,331,7,6,12.8%,26.9%,37.2%,66,0,3,6,7,50,0,0,4.5%,13.6%,24.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坂本 佳憲,サカモト ヨシノリ,大阪府,1985/05/09,40歳,男,014099,90期,A級3班,追,69.68,1498,5,157,218,223,886,12,5,10.4%,25.0%,39.9%,1109,5,107,184,181,628,7,3,9.6%,26.2%,42.5%,381,0,50,34,42,250,5,2,13.1%,22.0%,33.0%,8,0,0,0,0,8,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,3,10,11,53,1,1,3.7%,16.4%,30.3%,63,0,3,9,9,41,1,0,4.7%,19.0%,33.3%,16,0,0,1,2,12,0,1,0.0%,6.2%,18.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,2,3,8,16,1,0,6.6%,16.6%,43.3%,30,0,2,3,8,16,1,0,6.6%,16.6%,43.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,5,162,231,242,955,14,6,10.0%,24.4%,39.5%,1202,5,112,196,198,685,9,3,9.3%,25.6%,42.0%,397,0,50,35,44,262,5,3,12.5%,21.4%,32.4%,8,0,0,0,0,8,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永橋 武司,ナガハシ タケシ,大阪府,1982/10/24,42歳,男,014101,90期,A級3班,両,69.14,1453,4,191,209,137,904,9,5,13.1%,27.5%,36.9%,995,3,135,159,104,590,5,4,13.5%,29.5%,40.0%,445,1,56,50,33,301,4,1,12.5%,23.8%,31.2%,13,0,0,0,0,13,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,11,5,10,45,1,0,15.2%,22.2%,36.1%,72,0,11,5,10,45,1,0,15.2%,22.2%,36.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,4,4,2,18,0,0,14.2%,28.5%,35.7%,28,0,4,4,2,18,0,0,14.2%,28.5%,35.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553,4,206,218,149,967,10,5,13.2%,27.3%,36.8%,1095,3,150,168,116,653,6,4,13.6%,29.0%,39.6%,445,1,56,50,33,301,4,1,12.5%,23.8%,31.2%,13,0,0,0,0,13,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
篠塚 光一,シノヅカ コウイチ,兵庫県,1980/05/31,44歳,男,014102,90期,A級2班,追,87.07,1362,20,196,210,181,760,10,7,14.3%,29.8%,43.0%,418,12,78,84,59,191,3,4,18.6%,38.7%,52.8%,761,8,99,114,101,441,4,3,13.0%,27.9%,41.2%,183,0,19,12,21,128,3,0,10.3%,16.9%,28.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,22,16,17,48,0,1,21.1%,36.5%,52.8%,79,0,13,14,13,39,0,0,16.4%,34.1%,50.6%,25,0,9,2,4,9,0,1,36.0%,44.0%,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,4,7,4,13,1,1,13.7%,37.9%,51.7%,24,0,3,6,3,12,0,0,12.5%,37.5%,50.0%,5,0,1,1,1,1,1,1,20.0%,40.0%,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,20,222,233,202,821,11,9,14.8%,30.4%,43.9%,521,12,94,104,75,242,3,4,18.0%,38.0%,52.3%,791,8,109,117,106,451,5,5,13.7%,28.5%,41.9%,183,0,19,12,21,128,3,0,10.3%,16.9%,28.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
村田 雅一,ムラタ マサカズ,兵庫県,1984/07/04,40歳,男,014103,90期,S級2班,追,113.00,1569,14,204,229,198,876,53,15,13.0%,27.5%,40.2%,395,9,80,61,51,191,10,3,20.2%,35.6%,48.6%,774,5,80,113,101,444,33,8,10.3%,24.9%,37.9%,287,0,40,43,29,163,10,2,13.9%,28.9%,39.0%,20,0,0,2,2,15,0,1,0.0%,10.0%,20.0%,93,0,4,10,15,63,0,1,4.3%,15.0%,31.1%,,,,,,,,,,,,97,2,13,19,15,47,2,2,13.4%,32.9%,48.4%,2,0,0,0,0,2,0,0,0.0%,0.0%,0.0%,58,2,10,13,8,26,1,1,17.2%,39.6%,53.4%,29,0,3,5,5,14,1,1,10.3%,27.5%,44.8%,,,,,,,,,,,,8,0,0,1,2,5,0,0,0.0%,12.5%,37.5%,,,,,,,,,,,,30,0,3,8,9,10,0,0,10.0%,36.6%,66.6%,,,,,,,,,,,,6,0,2,3,0,1,0,0,33.3%,83.3%,83.3%,12,0,0,3,5,4,0,0,0.0%,25.0%,66.6%,4,0,0,0,3,1,0,0,0.0%,0.0%,75.0%,8,0,1,2,1,4,0,0,12.5%,37.5%,50.0%,,,,,,,,,,,,1696,16,220,256,222,933,55,17,12.9%,28.0%,41.1%,397,9,80,61,51,193,10,3,20.1%,35.5%,48.3%,838,7,92,129,109,471,34,9,10.9%,26.3%,39.3%,328,0,43,51,39,181,11,3,13.1%,28.6%,40.5%,24,0,0,2,5,16,0,1,0.0%,8.3%,29.1%,109,0,5,13,18,72,0,1,4.5%,16.5%,33.0%,,,,,,,,,,,
池田 憲昭,イケダ ノリアキ,香川県,1982/04/26,43歳,男,014104,90期,A級1班,追,90.80,1571,21,307,180,171,876,26,11,19.5%,30.9%,41.8%,211,5,60,23,20,105,2,1,28.4%,39.3%,48.8%,887,15,181,101,96,491,10,8,20.4%,31.7%,42.6%,308,1,58,37,34,169,10,0,18.8%,30.8%,41.8%,15,0,0,1,4,9,1,0,0.0%,6.6%,33.3%,150,0,8,18,17,102,3,2,5.3%,17.3%,28.6%,,,,,,,,,,,,82,0,10,8,11,52,1,0,12.1%,21.9%,35.3%,,,,,,,,,,,,59,0,10,7,9,32,1,0,16.9%,28.8%,44.0%,23,0,0,1,2,20,0,0,0.0%,4.3%,13.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,8,3,6,19,0,0,22.2%,30.5%,47.2%,21,1,6,2,3,10,0,0,28.5%,38.0%,52.3%,15,0,2,1,3,9,0,0,13.3%,20.0%,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689,22,325,191,188,947,27,11,19.2%,30.5%,41.6%,232,6,66,25,23,115,2,1,28.4%,39.2%,49.1%,961,15,193,109,108,532,11,8,20.0%,31.4%,42.6%,331,1,58,38,36,189,10,0,17.5%,29.0%,39.8%,15,0,0,1,4,9,1,0,0.0%,6.6%,33.3%,150,0,8,18,17,102,3,2,5.3%,17.3%,28.6%,,,,,,,,,,,
阿竹 智史,アタケ サトシ,徳島県,1982/04/15,43歳,男,014105,90期,S級1班,両,108.14,1502,27,286,212,187,751,60,8,19.0%,33.1%,45.6%,94,6,38,17,7,26,5,1,40.4%,58.5%,65.9%,722,19,159,111,88,337,25,2,22.0%,37.3%,49.5%,405,2,63,62,55,206,18,1,15.5%,30.8%,44.4%,45,0,7,3,7,27,1,0,15.5%,22.2%,37.7%,236,0,19,19,30,155,11,4,8.0%,16.1%,28.8%,,,,,,,,,,,,86,0,13,11,14,47,1,0,15.1%,27.9%,44.1%,2,0,0,1,0,1,0,0,0.0%,50.0%,50.0%,27,0,3,4,4,16,0,0,11.1%,25.9%,40.7%,30,0,8,5,3,13,1,0,26.6%,43.3%,53.3%,,,,,,,,,,,,27,0,2,1,7,17,0,0,7.4%,11.1%,37.0%,,,,,,,,,,,,28,0,5,4,3,15,1,0,17.8%,32.1%,42.8%,,,,,,,,,,,,11,0,3,1,2,4,1,0,27.2%,36.3%,54.5%,9,0,2,2,0,5,0,0,22.2%,44.4%,44.4%,,,,,,,,,,,,8,0,0,1,1,6,0,0,0.0%,12.5%,25.0%,,,,,,,,,,,,1616,27,304,227,204,813,62,8,18.8%,32.8%,45.4%,96,6,38,18,7,27,5,1,39.5%,58.3%,65.6%,760,19,165,116,94,357,26,2,21.7%,36.9%,49.3%,444,2,73,69,58,224,19,1,16.4%,31.9%,45.0%,45,0,7,3,7,27,1,0,15.5%,22.2%,37.7%,271,0,21,21,38,178,11,4,7.7%,15.4%,29.5%,,,,,,,,,,,
